0.01	200	0.088085171	0.00785416	0.024938269	2248.15158	-226494.48	572.940608
0.01	220	0.080066944	0.00856841	0.027511405	2264.72104	-181374.79	787.946378
0.01	240	0.073387846	0.00926244	0.030131679	2287.29563	-135865.5	985.923482
0.01	260	0.067737991	0.00993663	0.032822051	2316.71672	-89837.205	1170.11925
0.01	280	0.062896336	0.0105917	0.035600106	2353.29756	-43148.991	1343.10096
0.01	300	0.058700946	0.0112286	0.038477838	2396.87883	4341.4471	1506.90876
0.01	320	0.055030462	0.0118482	0.0414621	2446.94311	52769.4326	1663.16491
0.01	340	0.051792136	0.0124515	0.04455537	2502.74404	102257.44	1813.15741
0.01	360	0.048913863	0.0130395	0.047756632	2563.42268	152911.716	1957.90679
0.01	380	0.04633874	0.0136131	0.051062222	2628.09864	204820.986	2098.22053
0.01	400	0.044021256	0.0141736	0.054470016	2695.93326	258056.701	2234.73742
0.01	420	0.04192458	0.0147228	0.057982372	2766.16776	312674.293	2367.96355
0.01	440	0.040018584	0.0152601	0.061581742	2838.14168	368714.985	2498.30126
0.01	460	0.038278382	0.0157862	0.065260448	2911.29723	426207.816	2626.0721
0.01	480	0.036683239	0.0163015	0.069010707	2985.17448	485171.666	2751.53488
0.01	500	0.035215742	0.0168068	0.072824849	3059.40142	545617.11	2874.89976
1	200	9.29597684	0.0078469	0.026922239	2418.43055	-244720.9	-2104.254
1	220	8.32781891	0.00856162	0.029294186	2391.41148	-196664.59	-1875.2208
1	240	7.55714546	0.00925604	0.031753803	2385.44418	-148925.43	-1667.5246
1	260	6.92561501	0.00993055	0.034312106	2395.07875	-101143.3	-1476.2991
1	280	6.3967812	0.0105859	0.036979242	2417.34661	-53038.246	-1298.0609
1	300	5.94639637	0.011223	0.039762259	2450.2242	-4378.7774	-1130.2162
1	320	5.55755563	0.0118428	0.042664552	2492.0663	45030.4486	-970.79077
1	340	5.21803786	0.0124463	0.045686097	2541.40977	95353.856	-818.26401
1	360	4.9187478	0.0130345	0.048824009	2596.92158	146727.933	-671.45608
1	380	4.65275348	0.0136083	0.052073195	2657.3972	199263.781	-529.44745
1	400	4.41466535	0.0141689	0.055430422	2721.77001	253049.771	-391.51854
